2022-10-07 10:14:19,771 INFO INPUT              Input trajectory is read
2022-10-07 10:14:20,212 INFO INPUT              Number of frames: 1001
2022-10-07 10:14:20,215 INFO SELECTION          Atom selection: name CA
2022-10-07 10:14:20,217 INFO SELECTION          Property name: RMSD
2022-10-07 10:14:20,677 INFO STATISTICS         min = 0.00, max = 1.78, avg = 1.19
2022-10-07 10:14:20,680 INFO STATISTICS         min = 0.75, max = 1.66, avg = 1.20
2022-10-07 10:19:27,339 INFO OUTPUT             Dissimilarity score: -0.01500
2022-10-07 10:19:27,344 INFO OUTPUT             Dissimilarity score: -0.01500
2022-10-07 10:19:27,363 INFO STEPS              Property vector done
2022-10-07 10:19:27,370 INFO STEPS              Property vector done
